HG_224410	OG0224409: Ebro_g35013.t1
HG_7725	OG0007724: Ebro_g10016.t1 Ebro_g10056.t1 Ebro_g10460.t1 Ebro_g11294.t1 Ebro_g11615.t1 Ebro_g11621.t1 Ebro_g11873.t1 Ebro_g11962.t1 Ebro_g12305.t1 Ebro_g12698.t1 Ebro_g12720.t1 Ebro_g12731.t1 Ebro_g1333.t1 Ebro_g13370.t1 Ebro_g13505.t1 Ebro_g13512.t1 Ebro_g14549.t1 Ebro_g16084.t1 Ebro_g1611.t1 Ebro_g16115.t1 Ebro_g16121.t1 Ebro_g16243.t1 Ebro_g1628.t1 Ebro_g16579.t1 Ebro_g16631.t1 Ebro_g17024.t1 Ebro_g17500.t1 Ebro_g1811.t1 Ebro_g18962.t1 Ebro_g20686.t2 Ebro_g22532.t1 Ebro_g22745.t1 Ebro_g23453.t1 Ebro_g23503.t1 Ebro_g23565.t1 Ebro_g24934.t1 Ebro_g25856.t1 Ebro_g26273.t1 Ebro_g26358.t1 Ebro_g26576.t1 Ebro_g27686.t1 Ebro_g28109.t1 Ebro_g28288.t1 Ebro_g29186.t1 Ebro_g294.t1 Ebro_g30072.t1 Ebro_g30074.t1 Ebro_g30321.t1 Ebro_g30549.t1 Ebro_g30605.t2 Ebro_g30700.t1 Ebro_g30889.t1 Ebro_g31003.t1 Ebro_g31076.t1 Ebro_g31310.t1 Ebro_g32285.t1 Ebro_g32500.t1 Ebro_g32510.t1 Ebro_g32668.t1 Ebro_g32898.t1 Ebro_g3428.t1 Ebro_g3430.t1 Ebro_g34304.t1 Ebro_g34696.t1 Ebro_g34808.t1 Ebro_g35111.t1 Ebro_g35437.t1 Ebro_g36012.t2 Ebro_g36712.t1 Ebro_g36867.t1 Ebro_g3691.t1 Ebro_g37132.t1 Ebro_g37794.t1 Ebro_g38174.t1 Ebro_g38250.t1 Ebro_g38675.t1 Ebro_g38831.t1 Ebro_g3887.t1 Ebro_g38985.t1 Ebro_g39137.t1 Ebro_g3959.t1 Ebro_g39819.t1 Ebro_g40675.t2 Ebro_g41058.t1 Ebro_g4110.t1 Ebro_g41316.t1 Ebro_g42084.t1 Ebro_g4250.t1 Ebro_g42815.t1 Ebro_g433.t1 Ebro_g43460.t1 Ebro_g43945.t1 Ebro_g44220.t1 Ebro_g44481.t1 Ebro_g44727.t2 Ebro_g44894.t1 Ebro_g45416.t1 Ebro_g45777.t1 Ebro_g45958.t1 Ebro_g46110.t1 Ebro_g46314.t1 Ebro_g46385.t1 Ebro_g46395.t1 Ebro_g46638.t1 Ebro_g5052.t1 Ebro_g5216.t1 Ebro_g5736.t1 Ebro_g5921.t2 Ebro_g6183.t1 Ebro_g6391.t1 Ebro_g665.t2 Ebro_g7703.t1 Ebro_g8390.t1 Ebro_g865.t1 Ebro_g8962.t3 Ebro_g9677.t1
HG_227099	OG0227098: Ebro_g20338.t1
HG_48086	OG0048085: Ebro_g15498.t1 Ebro_g25561.t1 Ebro_g25562.t1 Ebro_g28373.t1 Ebro_g31325.t1 Ebro_g42654.t1
HG_113830	OG0113829: Ebro_g24543.t1 Ebro_g39811.t1
HG_113514	OG0113513: Ebro_g37611.t1 Ebro_g37611.t2
HG_113716	OG0113715: Ebro_g28576.t1 Ebro_g28576.t2
HG_113918	OG0113917: Ebro_g3031.t1 Ebro_g46547.t1
HG_226681	OG0226680: Ebro_g45954.t1
HG_226883	OG0226882: Ebro_g34988.t1
HG_37824	OG0037823: Ebro_g19283.t1 Ebro_g2159.t1 Ebro_g2159.t2 Ebro_g2160.t1 Ebro_g2162.t1 Ebro_g2162.t2 Ebro_g2165.t1 Ebro_g46281.t1
HG_226365	OG0226364: Ebro_g22086.t1
HG_226567	OG0226566: Ebro_g27987.t1
HG_226769	OG0226768: Ebro_g8120.t1
HG_226163	OG0226162: Ebro_g42603.t1
HG_224991	OG0224990: Ebro_g6863.t1
HG_226049	OG0226048: Ebro_g8263.t1
HG_83257	OG0083256: Ebro_g30215.t1 Ebro_g30216.t1 Ebro_g30217.t1
HG_224877	OG0224876: Ebro_g15859.t1
HG_224473	OG0224472: Ebro_g29303.t1
HG_224675	OG0224674: Ebro_g39122.t1
HG_227207	OG0227206: Ebro_g35103.t1
HG_83088	OG0083087: Ebro_g16242.t1 Ebro_g20616.t2 Ebro_g30239.t1
HG_224271	OG0224270: Ebro_g38435.t1
HG_224359	OG0224358: Ebro_g23273.t1
HG_227005	OG0227004: Ebro_g11638.t1
HG_225833	OG0225832: Ebro_g8066.t1
HG_224157	OG0224156: Ebro_g45332.t1
HG_225631	OG0225630: Ebro_g31528.t1
HG_225719	OG0225718: Ebro_g17054.t1
HG_42421	OG0042420: Ebro_g10194.t2 Ebro_g18975.t1 Ebro_g2538.t2 Ebro_g41301.t1 Ebro_g45796.t2 Ebro_g46655.t1 Ebro_g7315.t1
HG_2710	OG0002709: Ebro_g10004.t1 Ebro_g105.t1 Ebro_g11220.t1 Ebro_g11221.t1 Ebro_g11223.t1 Ebro_g11363.t1 Ebro_g11529.t1 Ebro_g12372.t1 Ebro_g13144.t1 Ebro_g13244.t1 Ebro_g13305.t2 Ebro_g13305.t3 Ebro_g13448.t1 Ebro_g13514.t1 Ebro_g13742.t1 Ebro_g13743.t1 Ebro_g13744.t1 Ebro_g14296.t1 Ebro_g14297.t1 Ebro_g14568.t1 Ebro_g14646.t1 Ebro_g14770.t2 Ebro_g14815.t2 Ebro_g14883.t1 Ebro_g14893.t1 Ebro_g15184.t1 Ebro_g15401.t1 Ebro_g15894.t1 Ebro_g15945.t1 Ebro_g15995.t1 Ebro_g15996.t1 Ebro_g16615.t1 Ebro_g16616.t1 Ebro_g16763.t1 Ebro_g16882.t1 Ebro_g17269.t1 Ebro_g17366.t1 Ebro_g17407.t1 Ebro_g17408.t1 Ebro_g17493.t1 Ebro_g17523.t1 Ebro_g17550.t1 Ebro_g17890.t1 Ebro_g18207.t1 Ebro_g18223.t2 Ebro_g18223.t3 Ebro_g18318.t1 Ebro_g18650.t3 Ebro_g18651.t3 Ebro_g1917.t1 Ebro_g19202.t1 Ebro_g19799.t1 Ebro_g20067.t1 Ebro_g20068.t1 Ebro_g20099.t1 Ebro_g20126.t1 Ebro_g20297.t1 Ebro_g20298.t1 Ebro_g204.t1 Ebro_g20459.t1 Ebro_g20772.t1 Ebro_g20923.t1 Ebro_g20924.t1 Ebro_g20997.t1 Ebro_g20997.t2 Ebro_g20998.t1 Ebro_g21276.t1 Ebro_g21280.t1 Ebro_g21394.t1 Ebro_g21711.t1 Ebro_g21757.t1 Ebro_g2217.t1 Ebro_g22231.t1 Ebro_g23069.t1 Ebro_g23590.t1 Ebro_g24153.t1 Ebro_g24455.t1 Ebro_g24544.t1 Ebro_g24545.t1 Ebro_g24546.t1 Ebro_g25118.t1 Ebro_g25552.t1 Ebro_g25621.t1 Ebro_g25621.t2 Ebro_g25659.t1 Ebro_g25660.t1 Ebro_g25976.t1 Ebro_g25977.t2 Ebro_g25978.t1 Ebro_g26238.t2 Ebro_g26401.t1 Ebro_g26724.t1 Ebro_g2716.t1 Ebro_g27402.t1 Ebro_g27594.t1 Ebro_g27852.t1 Ebro_g28434.t1 Ebro_g28622.t1 Ebro_g28784.t1 Ebro_g2897.t1 Ebro_g29015.t1 Ebro_g29016.t1 Ebro_g29017.t1 Ebro_g2906.t1 Ebro_g29368.t1 Ebro_g29527.t1 Ebro_g29567.t1 Ebro_g29568.t1 Ebro_g29886.t1 Ebro_g29887.t1 Ebro_g29888.t1 Ebro_g29905.t1 Ebro_g29955.t2 Ebro_g30279.t1 Ebro_g30340.t1 Ebro_g30341.t3 Ebro_g30380.t1 Ebro_g30381.t1 Ebro_g30755.t1 Ebro_g31023.t2 Ebro_g31023.t3 Ebro_g31024.t1 Ebro_g31372.t1 Ebro_g31373.t1 Ebro_g31473.t1 Ebro_g31644.t1 Ebro_g31747.t2 Ebro_g31763.t1 Ebro_g31775.t1 Ebro_g32055.t1 Ebro_g33059.t1 Ebro_g33067.t1 Ebro_g33089.t1 Ebro_g33090.t1 Ebro_g331.t1 Ebro_g33179.t1 Ebro_g33583.t1 Ebro_g33584.t1 Ebro_g33597.t1 Ebro_g3381.t1 Ebro_g33835.t1 Ebro_g34027.t1 Ebro_g34162.t1 Ebro_g34244.t1 Ebro_g34346.t1 Ebro_g3440.t1 Ebro_g34535.t1 Ebro_g34731.t1 Ebro_g34860.t1 Ebro_g34903.t1 Ebro_g35051.t1 Ebro_g3595.t1 Ebro_g36023.t1 Ebro_g36386.t1 Ebro_g36542.t2 Ebro_g36630.t1 Ebro_g37030.t1 Ebro_g37059.t1 Ebro_g3706.t1 Ebro_g3710.t1 Ebro_g3715.t1 Ebro_g37295.t1 Ebro_g37310.t1 Ebro_g37311.t1 Ebro_g37487.t1 Ebro_g37488.t1 Ebro_g37683.t1 Ebro_g37684.t1 Ebro_g37815.t1 Ebro_g37816.t1 Ebro_g38006.t1 Ebro_g38048.t1 Ebro_g38377.t1 Ebro_g38378.t1 Ebro_g38487.t1 Ebro_g39111.t1 Ebro_g3918.t1 Ebro_g3919.t1 Ebro_g39268.t1 Ebro_g39467.t1 Ebro_g39557.t1 Ebro_g39558.t1 Ebro_g3986.t1 Ebro_g40379.t1 Ebro_g40380.t1 Ebro_g40484.t1 Ebro_g40647.t1 Ebro_g4092.t1 Ebro_g41112.t1 Ebro_g41113.t1 Ebro_g41220.t1 Ebro_g41221.t1 Ebro_g4182.t2 Ebro_g41919.t2 Ebro_g42256.t1 Ebro_g42257.t1 Ebro_g42463.t1 Ebro_g42464.t1 Ebro_g42465.t1 Ebro_g43042.t1 Ebro_g43169.t1 Ebro_g43514.t1 Ebro_g43889.t1 Ebro_g44084.t1 Ebro_g44085.t1 Ebro_g44249.t1 Ebro_g44321.t1 Ebro_g44563.t1 Ebro_g44742.t1 Ebro_g45011.t1 Ebro_g45143.t1 Ebro_g45209.t1 Ebro_g45424.t2 Ebro_g45664.t1 Ebro_g45885.t1 Ebro_g45886.t1 Ebro_g45887.t1 Ebro_g45930.t1 Ebro_g46304.t1 Ebro_g5006.t1 Ebro_g5032.t1 Ebro_g5311.t1 Ebro_g5312.t1 Ebro_g5312.t2 Ebro_g5370.t1 Ebro_g5989.t1 Ebro_g6288.t1 Ebro_g6416.t1 Ebro_g6417.t1 Ebro_g6418.t1 Ebro_g6501.t1 Ebro_g6614.t1 Ebro_g679.t1 Ebro_g8204.t1 Ebro_g8281.t1 Ebro_g8486.t2 Ebro_g8510.t1 Ebro_g8606.t1 Ebro_g8782.t1 Ebro_g8963.t1 Ebro_g8964.t1 Ebro_g9023.t1 Ebro_g913.t1 Ebro_g914.t1 Ebro_g915.t3 Ebro_g9190.t1 Ebro_g9191.t1 Ebro_g9192.t1 Ebro_g9416.t1 Ebro_g9812.t1 Ebro_g9832.t1
HG_225517	OG0225516: Ebro_g12766.t1
HG_225113	OG0225112: Ebro_g14345.t1
HG_225315	OG0225314: Ebro_g23707.t1
HG_83152	OG0083151: Ebro_g20796.t1 Ebro_g21754.t1 Ebro_g6245.t1
HG_66939	OG0066938: Ebro_g22392.t2 Ebro_g32754.t1 Ebro_g32757.t1 Ebro_g40611.t1
HG_66970	OG0066969: Ebro_g20216.t1 Ebro_g39034.t1 Ebro_g39053.t2 Ebro_g45963.t1
HG_113841	OG0113840: Ebro_g44489.t1 Ebro_g4758.t1
HG_113929	OG0113928: Ebro_g11938.t1 Ebro_g7591.t1
HG_16997	OG0016996: Ebro_g10863.t2 Ebro_g12571.t1 Ebro_g17168.t2 Ebro_g20547.t1 Ebro_g20564.t1 Ebro_g24.t2 Ebro_g24036.t1 Ebro_g25618.t1 Ebro_g27260.t1 Ebro_g27260.t2 Ebro_g27749.t1 Ebro_g30448.t1 Ebro_g31087.t1 Ebro_g31140.t1 Ebro_g3168.t1 Ebro_g37404.t1 Ebro_g37405.t1 Ebro_g38228.t1 Ebro_g44838.t1 Ebro_g6225.t1 Ebro_g664.t1 Ebro_g7270.t2
HG_113525	OG0113524: Ebro_g39065.t1 Ebro_g43448.t1
HG_113727	OG0113726: Ebro_g13917.t1 Ebro_g38605.t1
HG_226490	OG0226489: Ebro_g27257.t1
HG_226692	OG0226691: Ebro_g12098.t1
HG_226894	OG0226893: Ebro_g20341.t1
HG_226376	OG0226375: Ebro_g8286.t1
HG_226578	OG0226577: Ebro_g15822.t1
HG_226174	OG0226173: Ebro_g19415.t1
HG_224888	OG0224887: Ebro_g45507.t1
HG_224484	OG0224483: Ebro_g35287.t1
HG_227130	OG0227129: Ebro_g36815.t1
HG_224686	OG0224685: Ebro_g8283.t1
HG_5306	OG0005305: Ebro_g10444.t1 Ebro_g10574.t1 Ebro_g10799.t1 Ebro_g11365.t1 Ebro_g11776.t1 Ebro_g12281.t1 Ebro_g12282.t1 Ebro_g12283.t1 Ebro_g12369.t1 Ebro_g13442.t1 Ebro_g13443.t1 Ebro_g13830.t1 Ebro_g1388.t1 Ebro_g13889.t1 Ebro_g13905.t1 Ebro_g1463.t1 Ebro_g14682.t2 Ebro_g14790.t1 Ebro_g14855.t1 Ebro_g14856.t1 Ebro_g14857.t1 Ebro_g14899.t1 Ebro_g15249.t1 Ebro_g15631.t1 Ebro_g16378.t1 Ebro_g16445.t1 Ebro_g16842.t1 Ebro_g16878.t1 Ebro_g1688.t1 Ebro_g17139.t1 Ebro_g17210.t1 Ebro_g17488.t1 Ebro_g177.t1 Ebro_g17701.t1 Ebro_g17763.t1 Ebro_g17811.t1 Ebro_g17882.t1 Ebro_g18316.t1 Ebro_g1834.t1 Ebro_g18656.t1 Ebro_g19918.t1 Ebro_g20812.t1 Ebro_g20947.t1 Ebro_g21522.t1 Ebro_g21834.t1 Ebro_g21931.t1 Ebro_g22493.t1 Ebro_g22547.t1 Ebro_g22640.t1 Ebro_g23271.t1 Ebro_g23825.t1 Ebro_g24111.t1 Ebro_g24124.t1 Ebro_g24326.t1 Ebro_g24502.t1 Ebro_g24541.t1 Ebro_g24773.t1 Ebro_g25027.t1 Ebro_g25127.t1 Ebro_g25175.t1 Ebro_g25386.t1 Ebro_g25415.t1 Ebro_g26076.t1 Ebro_g26135.t1 Ebro_g2623.t1 Ebro_g26507.t1 Ebro_g27011.t1 Ebro_g27137.t1 Ebro_g27509.t1 Ebro_g27624.t1 Ebro_g28408.t1 Ebro_g28437.t1 Ebro_g28596.t1 Ebro_g28686.t1 Ebro_g28726.t1 Ebro_g28968.t1 Ebro_g29116.t1 Ebro_g29167.t2 Ebro_g30245.t1 Ebro_g30358.t1 Ebro_g31072.t1 Ebro_g31387.t1 Ebro_g31425.t1 Ebro_g31487.t1 Ebro_g31488.t1 Ebro_g31501.t1 Ebro_g31750.t1 Ebro_g31919.t1 Ebro_g32534.t1 Ebro_g32611.t1 Ebro_g32813.t1 Ebro_g32878.t1 Ebro_g33063.t1 Ebro_g33175.t1 Ebro_g33176.t1 Ebro_g33823.t1 Ebro_g33830.t1 Ebro_g3406.t1 Ebro_g34368.t1 Ebro_g3456.t1 Ebro_g34591.t1 Ebro_g34796.t1 Ebro_g34963.t1 Ebro_g35224.t1 Ebro_g35239.t1 Ebro_g35547.t2 Ebro_g36725.t1 Ebro_g36968.t1 Ebro_g36969.t1 Ebro_g37347.t1 Ebro_g37400.t1 Ebro_g37463.t1 Ebro_g37627.t1 Ebro_g38170.t1 Ebro_g38428.t1 Ebro_g38476.t1 Ebro_g38694.t1 Ebro_g39409.t1 Ebro_g39464.t1 Ebro_g39727.t1 Ebro_g39816.t1 Ebro_g40421.t1 Ebro_g40460.t1 Ebro_g40642.t1 Ebro_g41474.t1 Ebro_g41475.t1 Ebro_g42394.t1 Ebro_g42828.t1 Ebro_g431.t1 Ebro_g43160.t1 Ebro_g43206.t1 Ebro_g43259.t1 Ebro_g43509.t3 Ebro_g43510.t1 Ebro_g43869.t1 Ebro_g43978.t1 Ebro_g44038.t1 Ebro_g44119.t1 Ebro_g44199.t1 Ebro_g44266.t1 Ebro_g44286.t1 Ebro_g45012.t1 Ebro_g45132.t1 Ebro_g46183.t1 Ebro_g46369.t1 Ebro_g46372.t1 Ebro_g4762.t1 Ebro_g4876.t1 Ebro_g4951.t1 Ebro_g4952.t1 Ebro_g4976.t1 Ebro_g498.t1 Ebro_g499.t1 Ebro_g5007.t1 Ebro_g5305.t1 Ebro_g5528.t1 Ebro_g5529.t1 Ebro_g571.t1 Ebro_g5843.t1 Ebro_g5844.t1 Ebro_g6021.t1 Ebro_g6988.t1 Ebro_g7363.t1 Ebro_g7520.t1 Ebro_g826.t1 Ebro_g8457.t1 Ebro_g8652.t1 Ebro_g9021.t1 Ebro_g9150.t1 Ebro_g9195.t1 Ebro_g9356.t1 Ebro_g9467.t1 Ebro_g9468.t1
HG_224168	OG0224167: Ebro_g25011.t1
HG_227016	OG0227015: Ebro_g6981.t1
HG_227218	OG0227217: Ebro_g40631.t1
HG_224080	OG0224079: Ebro_g20139.t1
HG_224282	OG0224281: Ebro_g189.t1
HG_225642	OG0225641: Ebro_g45951.t1
HG_225844	OG0225843: Ebro_g4314.t1
HG_225528	OG0225527: Ebro_g32541.t1
HG_225440	OG0225439: Ebro_g43372.t1
HG_225124	OG0225123: Ebro_g42679.t1
HG_225326	OG0225325: Ebro_g44668.t1
HG_226800	OG0226799: Ebro_g32064.t1
HG_15361	OG0015360: Ebro_g11372.t1 Ebro_g12846.t1 Ebro_g14612.t2 Ebro_g15290.t1 Ebro_g15474.t1 Ebro_g16134.t1 Ebro_g20576.t1 Ebro_g20731.t1 Ebro_g21601.t1 Ebro_g23902.t1 Ebro_g26386.t1 Ebro_g29287.t1 Ebro_g30659.t1 Ebro_g33845.t1 Ebro_g34227.t1 Ebro_g34923.t1 Ebro_g3592.t1 Ebro_g368.t1 Ebro_g37719.t1 Ebro_g39468.t1 Ebro_g4104.t1 Ebro_g42530.t1 Ebro_g46344.t1 Ebro_g5383.t1 Ebro_g5665.t1 Ebro_g8337.t1
HG_48068	OG0048067: Ebro_g15014.t1 Ebro_g15015.t1 Ebro_g15017.t1 Ebro_g15029.t1 Ebro_g15821.t1 Ebro_g20299.t1
HG_10279	OG0010278: Ebro_g11969.t3 Ebro_g11970.t1 Ebro_g12057.t1 Ebro_g12065.t1 Ebro_g12071.t1 Ebro_g1378.t1 Ebro_g14151.t1 Ebro_g17160.t1 Ebro_g17294.t1 Ebro_g18768.t1 Ebro_g18769.t1 Ebro_g18833.t1 Ebro_g20004.t1 Ebro_g20828.t1 Ebro_g21872.t1 Ebro_g21883.t2 Ebro_g22313.t1 Ebro_g23310.t1 Ebro_g23360.t1 Ebro_g23555.t1 Ebro_g25075.t1 Ebro_g26932.t1 Ebro_g27248.t1 Ebro_g27450.t1 Ebro_g28221.t1 Ebro_g31723.t2 Ebro_g31723.t3 Ebro_g32290.t1 Ebro_g33108.t1 Ebro_g33109.t1 Ebro_g34843.t1 Ebro_g35979.t1 Ebro_g36220.t1 Ebro_g37248.t1 Ebro_g37916.t1 Ebro_g37973.t1 Ebro_g38251.t1 Ebro_g38252.t1 Ebro_g39164.t1 Ebro_g39497.t1 Ebro_g40129.t1 Ebro_g41041.t1 Ebro_g41042.t1 Ebro_g4147.t1 Ebro_g41609.t1 Ebro_g44169.t1 Ebro_g44695.t1 Ebro_g46789.t1 Ebro_g46877.t1 Ebro_g5392.t1 Ebro_g5538.t1 Ebro_g7257.t1 Ebro_g7621.t1 Ebro_g858.t1 Ebro_g9333.t1 Ebro_g9418.t1
HG_113852	OG0113851: Ebro_g46352.t1 Ebro_g46353.t1
HG_113650	OG0113649: Ebro_g2365.t2 Ebro_g6982.t1
HG_113738	OG0113737: Ebro_g24990.t1 Ebro_g24990.t2
HG_113536	OG0113535: Ebro_g3650.t1 Ebro_g3650.t3
HG_226185	OG0226184: Ebro_g25933.t1
HG_226387	OG0226386: Ebro_g7754.t1
HG_226589	OG0226588: Ebro_g17624.t1
HG_224899	OG0224898: Ebro_g28786.t2
HG_224293	OG0224292: Ebro_g33033.t1
HG_224495	OG0224494: Ebro_g36980.t1
HG_227141	OG0227140: Ebro_g1785.t1
HG_224697	OG0224696: Ebro_g32658.t1
HG_227229	OG0227228: Ebro_g19131.t1
HG_224091	OG0224090: Ebro_g38649.t1
HG_224179	OG0224178: Ebro_g7822.t1
HG_227027	OG0227026: Ebro_g21137.t1
HG_225451	OG0225450: Ebro_g22860.t1
HG_225653	OG0225652: Ebro_g6694.t1
HG_225855	OG0225854: Ebro_g17743.t1
HG_225337	OG0225336: Ebro_g3032.t1
HG_225539	OG0225538: Ebro_g30689.t1
HG_42403	OG0042402: Ebro_g11623.t1 Ebro_g20955.t1 Ebro_g21897.t1 Ebro_g23449.t1 Ebro_g26620.t1 Ebro_g33808.t1 Ebro_g35596.t1
HG_225135	OG0225134: Ebro_g6899.t1
HG_226811	OG0226810: Ebro_g10749.t1
HG_83134	OG0083133: Ebro_g11619.t1 Ebro_g22895.t1 Ebro_g45545.t2
HG_83270	OG0083269: Ebro_g15930.t1 Ebro_g31389.t1 Ebro_g34744.t1
HG_224603	OG0224602: Ebro_g41977.t1
HG_224805	OG0224804: Ebro_g30863.t1
HG_42370	OG0042369: Ebro_g15407.t1 Ebro_g15852.t1 Ebro_g17631.t1 Ebro_g20211.t1 Ebro_g24018.t1 Ebro_g27598.t1 Ebro_g3046.t1
HG_224401	OG0224400: Ebro_g33450.t1
HG_66888	OG0066887: Ebro_g14060.t1 Ebro_g1457.t1 Ebro_g19769.t1 Ebro_g3913.t1
HG_66952	OG0066951: Ebro_g22068.t1 Ebro_g36348.t1 Ebro_g40613.t1 Ebro_g6537.t1
HG_113661	OG0113660: Ebro_g36494.t1 Ebro_g43798.t1
HG_113863	OG0113862: Ebro_g13075.t1 Ebro_g13076.t1
HG_113749	OG0113748: Ebro_g11141.t2 Ebro_g11145.t1
HG_113547	OG0113546: Ebro_g44632.t1 Ebro_g44637.t1
HG_226196	OG0226195: Ebro_g31065.t1
HG_226398	OG0226397: Ebro_g28697.t1
HG_227152	OG0227151: Ebro_g15582.t1
HG_67012	OG0067011: Ebro_g35454.t1 Ebro_g35455.t1 Ebro_g35456.t1 Ebro_g35457.t1
HG_225980	OG0225979: Ebro_g36880.t1
HG_227038	OG0227037: Ebro_g35461.t1
HG_225866	OG0225865: Ebro_g21290.t1
HG_225462	OG0225461: Ebro_g44351.t1
HG_225664	OG0225663: Ebro_g42887.t1
HG_18770	OG0018769: Ebro_g11973.t1 Ebro_g12223.t1 Ebro_g12224.t1 Ebro_g12569.t1 Ebro_g12959.t1 Ebro_g19050.t3 Ebro_g28001.t1 Ebro_g29259.t1 Ebro_g30400.t1 Ebro_g36549.t1 Ebro_g37680.t1 Ebro_g38043.t1 Ebro_g40329.t1 Ebro_g42438.t1 Ebro_g44731.t1 Ebro_g5064.t1 Ebro_g5817.t1 Ebro_g5905.t1 Ebro_g7918.t1
HG_225260	OG0225259: Ebro_g19579.t1
HG_225146	OG0225145: Ebro_g25512.t2
HG_225348	OG0225347: Ebro_g3627.t1
HG_226620	OG0226619: Ebro_g11013.t1
HG_226822	OG0226821: Ebro_g40978.t1
HG_226506	OG0226505: Ebro_g45468.t1
HG_226708	OG0226707: Ebro_g26663.t1
HG_226102	OG0226101: Ebro_g1824.t1
HG_226304	OG0226303: Ebro_g4460.t1
HG_55773	OG0055772: Ebro_g20879.t1 Ebro_g33208.t1 Ebro_g34122.t1 Ebro_g35904.t1 Ebro_g46738.t1
HG_224930	OG0224929: Ebro_g27502.t1
HG_21335	OG0021334: Ebro_g10500.t1 Ebro_g10500.t2 Ebro_g11556.t1 Ebro_g21753.t1 Ebro_g23.t1 Ebro_g24952.t1 Ebro_g28024.t1 Ebro_g29496.t1 Ebro_g34252.t1 Ebro_g40338.t1 Ebro_g4156.t2 Ebro_g41632.t1 Ebro_g44057.t1 Ebro_g7497.t1 Ebro_g755.t1 Ebro_g9167.t1
HG_55701	OG0055700: Ebro_g2815.t1 Ebro_g38783.t1 Ebro_g41882.t1 Ebro_g46711.t1 Ebro_g46862.t1
HG_224614	OG0224613: Ebro_g12532.t1
HG_224816	OG0224815: Ebro_g10620.t1
HG_224210	OG0224209: Ebro_g8614.t1
HG_224412	OG0224411: Ebro_g8496.t1
HG_10904	OG0010903: Ebro_g11756.t1 Ebro_g12735.t1 Ebro_g13850.t1 Ebro_g15119.t1 Ebro_g16331.t1 Ebro_g17272.t1 Ebro_g17273.t1 Ebro_g18606.t1 Ebro_g18607.t1 Ebro_g18936.t1 Ebro_g19625.t1 Ebro_g20226.t1 Ebro_g20600.t1 Ebro_g20600.t2 Ebro_g22331.t2 Ebro_g22816.t1 Ebro_g25417.t1 Ebro_g26522.t1 Ebro_g26536.t1 Ebro_g27419.t1 Ebro_g27420.t1 Ebro_g28165.t1 Ebro_g34904.t1 Ebro_g34960.t1 Ebro_g34961.t1 Ebro_g36753.t1 Ebro_g38076.t1 Ebro_g3873.t1 Ebro_g39599.t1 Ebro_g40567.t1 Ebro_g40923.t1 Ebro_g42956.t1 Ebro_g42957.t1 Ebro_g43979.t1 Ebro_g44055.t1 Ebro_g45831.t1 Ebro_g46328.t1 Ebro_g46329.t1 Ebro_g46429.t1 Ebro_g4666.t1 Ebro_g5169.t1 Ebro_g5170.t1 Ebro_g5348.t1 Ebro_g6368.t1 Ebro_g6378.t1 Ebro_g6378.t2 Ebro_g8384.t1 Ebro_g8385.t1 Ebro_g8658.t1 Ebro_g8659.t1
HG_15038	OG0015037: Ebro_g14567.t1 Ebro_g23997.t1 Ebro_g23999.t1 Ebro_g2653.t1 Ebro_g2669.t1 Ebro_g2677.t1 Ebro_g28035.t1 Ebro_g29539.t1 Ebro_g29646.t1 Ebro_g29648.t1 Ebro_g29649.t1 Ebro_g29651.t1 Ebro_g29652.t1 Ebro_g3049.t1 Ebro_g37566.t1 Ebro_g37567.t1 Ebro_g428.t1 Ebro_g46294.t1 Ebro_g6034.t1 Ebro_g6035.t1 Ebro_g6036.t1 Ebro_g6037.t1 Ebro_g6038.t1 Ebro_g6039.t1 Ebro_g6040.t1 Ebro_g7297.t2 Ebro_g8699.t1
HG_113874	OG0113873: Ebro_g18143.t1 Ebro_g40518.t1
HG_113672	OG0113671: Ebro_g1019.t1 Ebro_g13385.t1
HG_113558	OG0113557: Ebro_g1358.t1 Ebro_g1523.t1
HG_227163	OG0227162: Ebro_g43365.t1
HG_48081	OG0048080: Ebro_g1147.t1 Ebro_g27947.t1 Ebro_g28041.t1 Ebro_g37743.t1 Ebro_g44993.t1 Ebro_g46257.t1
HG_225991	OG0225990: Ebro_g35462.t1
HG_227049	OG0227048: Ebro_g18317.t1
HG_225877	OG0225876: Ebro_g38168.t1
HG_225473	OG0225472: Ebro_g7232.t1
HG_225271	OG0225270: Ebro_g766.t1
HG_225675	OG0225674: Ebro_g4561.t1
HG_225157	OG0225156: Ebro_g28717.t1
HG_225359	OG0225358: Ebro_g6513.t1
HG_226631	OG0226630: Ebro_g38542.t1
HG_226833	OG0226832: Ebro_g26558.t1
HG_83116	OG0083115: Ebro_g26464.t1 Ebro_g3187.t1 Ebro_g37903.t1
HG_226315	OG0226314: Ebro_g13900.t2
HG_226517	OG0226516: Ebro_g3371.t1
HG_226719	OG0226718: Ebro_g32824.t1
HG_226113	OG0226112: Ebro_g33252.t1
HG_83252	OG0083251: Ebro_g26212.t1 Ebro_g27020.t1 Ebro_g36371.t2
HG_224941	OG0224940: Ebro_g9119.t1
HG_224423	OG0224422: Ebro_g27405.t1
HG_224625	OG0224624: Ebro_g21492.t1
HG_224827	OG0224826: Ebro_g36000.t1
HG_83083	OG0083082: Ebro_g21266.t1 Ebro_g24423.t1 Ebro_g43157.t1
HG_224221	OG0224220: Ebro_g34562.t1
HG_224309	OG0224308: Ebro_g45497.t2
